"","Date","Location / Operator","Aircraft Type / Registration","Fatalities","year","month","day"
"3544","01 Dec 1981","Mt. San Pietro, near Ajaccio, Corsica, FranceInex Adria Aviopromet (Yugoslavia)","McDonnell Douglas MD-81YU-ANA","180/180(0)","1981","Dec","01"
"3545","05 Dec 1981","Honolulu, HawaiiPrivate - Parajump air show","Beech C-45HN8185H","11/12(0)","1981","Dec","05"
"3546","10 Dec 1981","Tyonek, AlaskaAir Taxi - Spernak Airways","Cessna 207AN9461M","4/4(0)","1981","Dec","10"
"3547","15 Dec 1981","Mt. McKinley, AKAir Taxi - Hudson Air Service","Cessna 185N4311R","2/4(0)","1981","Dec","15"
"3548","16 Dec 1981","Kuala Belait, BruneiBristow Helicopters","Aerospatiale Puma9M-SSC","12/12(0)","1981","Dec","16"
"3549","18 Dec 1981","Near Covenas, ColombiaACES Colombia","de Havilland Canada DHC-6 Twin Otter 300HK-2217","13/13(0)","1981","Dec","18"
"3550","31 Dec 1981","Durango, ColoradoAir Taxi - Sun West Airline","Piper PA-31N41070","4/6(0)","1981","Dec","31"
"3551","07 Jan 1982","Helena, MontanaAir Taxi","Cessna 210N9763X","2/2(0)","1982","Jan","07"
"3552","07 Jan 1982","Near Gelendzhik, USSRAeroflot","LET  410M TurbojetCCCP-67290","18/18(0)","1982","Jan","07"
"3553","13 Jan 1982","Washington, D.C.Air Florida","Boeing B-737-222N62AF","74/79(4)","1982","Jan","13"
"3554","14 Jan 1982","Near Addis Ababa, EthiopiaMilitary - Ethiopian Air Force","Antonov AN-2671383","73/73(0)","1982","Jan","14"
"3555","23 Jan 1982","Logan Airport,  Boston, MassachusettsWorld Airways","McDonnell Douglas DC-10-30CFN113WA","2/212(0)","1982","Jan","23"
"3556","25 Jan 1982","Constanta, RomaniaTarom","Antonov An-24RVYR-BMD","7/7(0)","1982","Jan","25"
"3557","03 Feb 1982","Djibouti, DjboutiMilitary - French Air Force","Nord 2501 Noratlas140/88JA","35/35(0)","1982","Feb","03"
"3558","06 Feb 1982","Island of Cheju, South KoreaMilitary - Republic of South Korea Air Force","Fairchild C-123?","53/53(0)","1982","Feb","06"
"3559","07 Feb 1982","Near Srinagar, IndiaMilitary - Indian Air Force","Fairchild C-119G?","23/23(0)","1982","Feb","07"
"3560","09 Feb 1982","Mt. Ipao, PhilippinesTrans Air Services","Douglas DC-3 (C-47A-70-DL)RP-C141","3/32(0)","1982","Feb","09"
"3561","09 Feb 1982","Tokyo, JapanJapan Air Lines","McDonnell Douglas DC-8-61JA-8061","24/174(0)","1982","Feb","09"
"3562","19 Feb 1982","Cerro el Tablazo, ColombiaLAC Columbia","Douglas DC-6BFHK-1706","4/4(0)","1982","Feb","19"
"3563","21 Feb 1982","Providence, Rhode IslandPilgrim Airlines","de Havilland DHC -6-100N127PM","1/12(0)","1982","Feb","21"
"3564","11 Mar 1982","Mehamn, NorwayWideroe's Flyveselksap","de Havilland Canada DHC-6 Twin Otter 300LN-BNK","15/15(0)","1982","Mar","11"
"3565","19 Mar 1982","Leesburg, FloridaPrivate","Beechcraft Bonanza F35N567LT","3/3(0)","1982","Mar","19"
"3566","19 Mar 1982","Near Woodstock, IllinoisMilitary - U.S. Air Force","Boeing KC-135C58-0031","27/27(0)","1982","Mar","19"
"3567","20 Mar 1982","Branti Airport, IndonesiaGaruda Indonesia Airlines","Fokker F-28 Fellowship 1000PK-GVK","27/27(0)","1982","Mar","20"
"3568","26 Mar 1982","Queate, ColombiaAeropesca Colombia","Vickers Viscount 745DHK-2382","21/21(0)","1982","Mar","26"
"3569","11 Apr 1982","Near Tanana, AlaskaAir Taxi - Tundra Copters","Hughes 369DN11058","3/3(0)","1982","Apr","11"
"3570","13 Apr 1982","Near Erzurum, TurkeyMilitary - U.S. Air Force","Lockheed C-130H74-1678","27/27(0)","1982","Apr","13"
